170 50.353 1.0728
229 37.955 1.3842
283 37.816 2.1757
356 39.975 0.7066
437 41.169 0.28885
529 41.247 0.88334
632 41.766 0.089842
774 43.311 0.39519
941 44.086 1.0304
1125 44.93 1.2446
1334 45.522 1.47
1573 45.279 1.7416
1850 45.571 2.0237
2181 45.829 1.9403
2596 45.78 1.8618
3101 45.943 1.7848
3727 46.07 1.6714
4436 46.233 1.5055
5305 46.524 1.4133
6354 46.641 1.3001
7589 46.818 1.1454
9022 46.944 1.0519
10731 47.134 0.8951
12765 47.238 0.79565
15163 47.309 0.69243
17995 47.42 0.58194
21355 47.461 0.50286
25373 47.565 0.40603
30154 47.644 0.33653
35891 47.635 0.32102
42614 47.618 0.27136
