170 7.8583 0.6076
206 8.0107 0.62587
260 8.1775 0.72116
324 8.2624 0.59354
393 8.4078 0.60059
475 8.4224 0.61956
578 8.5079 0.53116
703 8.6364 0.37308
860 8.6776 0.32268
1041 8.7465 0.26129
1263 8.7789 0.24873
1535 8.8301 0.18622
1855 8.8813 0.12183
2236 8.9072 0.093167
2728 8.9291 0.078674
3295 8.9445 0.058904
3999 8.9555 0.049216
4838 8.9632 0.042646
5841 8.9715 0.039048
7105 8.9786 0.032809
8583 8.9829 0.02948
10384 8.9868 0.026728
12535 8.9904 0.024044
15149 8.9937 0.021141
18267 8.9959 0.019142
21998 8.9978 0.017586
26496 8.9999 0.01696
31956 9.0021 0.015068
38469 9.0039 0.014063
46433 9.0053 0.012685
55809 9.0067 0.011346
