190 2.5962 0.37517
219 2.543 0.33274
253 2.5702 0.25509
292 2.5843 0.24446
343 2.6099 0.20577
410 2.6541 0.16581
480 2.6696 0.15323
569 2.7394 0.11241
663 2.76 0.095483
780 2.7634 0.091111
913 2.7842 0.075279
1069 2.8108 0.0591
1243 2.8167 0.060296
1430 2.8189 0.057515
1676 2.8219 0.05403
1941 2.8265 0.053801
2247 2.8352 0.05185
2611 2.8342 0.055852
3003 2.8376 0.053579
3460 2.8406 0.050981
3990 2.8428 0.049305
4576 2.8433 0.05166
5228 2.8449 0.050207
5985 2.8465 0.051899
6847 2.8471 0.053934
7835 2.8484 0.052784
8919 2.849 0.05226
10134 2.8493 0.053921
11512 2.85 0.053398
13066 2.8507 0.05434
14793 2.8509 0.054047
