190 0.96849 0.043824
236 0.90422 0.0057151
288 0.85147 0.023542
347 0.80628 0.027947
421 0.75173 0.018985
511 0.73171 0.021135
635 0.68649 0.021216
780 0.67272 0.011543
969 0.67024 0.018422
1186 0.65681 0.0072982
1441 0.65419 0.0015666
1769 0.65118 0.0038908
2180 0.64992 0.0021697
2694 0.65143 0.003309
3319 0.65216 0.0024505
4129 0.6517 0.0049891
5120 0.65229 0.0068551
6376 0.6541 0.0059324
7925 0.6547 0.006583
9893 0.65541 0.0046433
12372 0.65569 0.003756
15540 0.65684 0.0025413
19442 0.6567 0.0023656
24518 0.65715 0.0014114
31022 0.65717 0.0010479
39044 0.6574 0.00059333
49166 0.65752 0.00041071
