170 4.467 1.5613
205 5.1028 1.4947
239 5.4176 1.3583
283 5.8612 1.3964
339 6.1867 1.2836
405 6.5484 1.1906
495 6.9362 1.0957
592 7.5484 0.86831
695 7.8842 0.71318
825 8.2438 0.50207
984 8.5445 0.31722
1189 8.6777 0.25201
1415 8.7429 0.21089
1692 8.7935 0.17734
2031 8.8328 0.15004
2445 8.852 0.13336
2928 8.8782 0.1149
3489 8.8976 0.10184
4235 8.92 0.083841
5159 8.9379 0.067356
6193 8.9553 0.05522
7403 8.9651 0.047394
8920 8.9721 0.041351
10710 8.9789 0.035701
12818 8.986 0.029723
15526 8.992 0.024693
18969 8.997 0.020068
22909 9.001 0.016254
27443 9.0049 0.013404
33229 9.007 0.011558
39989 9.0089 0.0099318
